name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Corey Road,0,8636209,0,1,1,23.75,1,40,,tertiary,5,"LINESTRING (-71.1404270 42.3423950, -71.1402261 42.3425484)",walk;auto;bike,1,0,,
Corey Road,1,8636209,1,0,1,23.75,1,40,,tertiary,5,"LINESTRING (-71.1402261 42.3425484, -71.1404270 42.3423950)",walk;auto;bike,1,0,,
Corey Road,2,8636209,1,2,1,27.9,1,40,,tertiary,5,"LINESTRING (-71.1402261 42.3425484, -71.1400760 42.3426630, -71.1399936 42.3427311)",walk;auto;bike,1,0,,
Corey Road,3,8636209,2,1,1,27.9,1,40,,tertiary,5,"LINESTRING (-71.1399936 42.3427311, -71.1400760 42.3426630, -71.1402261 42.3425484)",walk;auto;bike,1,0,,
Corey Road,4,8636209,2,3,1,15.83,1,40,,tertiary,5,"LINESTRING (-71.1399936 42.3427311, -71.1398653 42.3428372)",walk;auto;bike,1,0,,
Corey Road,5,8636209,3,2,1,15.83,1,40,,tertiary,5,"LINESTRING (-71.1398653 42.3428372, -71.1399936 42.3427311)",walk;auto;bike,1,0,,
Corey Road,6,8636209,3,4,1,21.81,1,40,,tertiary,5,"LINESTRING (-71.1398653 42.3428372, -71.1396885 42.3429834)",walk;auto;bike,1,0,,
Corey Road,7,8636209,4,3,1,21.81,1,40,,tertiary,5,"LINESTRING (-71.1396885 42.3429834, -71.1398653 42.3428372)",walk;auto;bike,1,0,,
Corey Road,8,8636209,4,5,1,55.6,1,40,,tertiary,5,"LINESTRING (-71.1396885 42.3429834, -71.1394530 42.3431770, -71.1392260 42.3433480)",walk;auto;bike,1,0,,
Corey Road,9,8636209,5,4,1,55.6,1,40,,tertiary,5,"LINESTRING (-71.1392260 42.3433480, -71.1394530 42.3431770, -71.1396885 42.3429834)",walk;auto;bike,1,0,,
Corey Road,10,8636209,5,6,1,43.35,1,40,,tertiary,5,"LINESTRING (-71.1392260 42.3433480, -71.1388701 42.3436356)",walk;auto;bike,1,0,,
Corey Road,11,8636209,6,5,1,43.35,1,40,,tertiary,5,"LINESTRING (-71.1388701 42.3436356, -71.1392260 42.3433480)",walk;auto;bike,1,0,,
Corey Road,12,8636209,6,7,1,69.59,1,40,,tertiary,5,"LINESTRING (-71.1388701 42.3436356, -71.1387160 42.3437540, -71.1383049 42.3441013)",walk;auto;bike,1,0,,
Corey Road,13,8636209,7,6,1,69.59,1,40,,tertiary,5,"LINESTRING (-71.1383049 42.3441013, -71.1387160 42.3437540, -71.1388701 42.3436356)",walk;auto;bike,1,0,,
Corey Road,14,8636209,7,8,1,5.85,1,40,,tertiary,5,"LINESTRING (-71.1383049 42.3441013, -71.1382581 42.3441409)",walk;auto;bike,1,0,,
Corey Road,15,8636209,8,7,1,5.85,1,40,,tertiary,5,"LINESTRING (-71.1382581 42.3441409, -71.1383049 42.3441013)",walk;auto;bike,1,0,,
Corey Road,16,8636209,8,9,1,5.9,1,40,,tertiary,5,"LINESTRING (-71.1382581 42.3441409, -71.1382112 42.3441811)",walk;auto;bike,1,0,,
Corey Road,17,8636209,9,8,1,5.9,1,40,,tertiary,5,"LINESTRING (-71.1382112 42.3441811, -71.1382581 42.3441409)",walk;auto;bike,1,0,,
Corey Road,18,8636209,9,10,1,33.31,1,40,,tertiary,5,"LINESTRING (-71.1382112 42.3441811, -71.1379347 42.3444000)",walk;auto;bike,1,0,,
Corey Road,19,8636209,10,9,1,33.31,1,40,,tertiary,5,"LINESTRING (-71.1379347 42.3444000, -71.1382112 42.3441811)",walk;auto;bike,1,0,,
,20,8636487,11,12,1,128.79,,,,service,8,"LINESTRING (-71.1466480 42.3434960, -71.1460590 42.3441790, -71.1464233 42.3444000)",walk;bike,1,0,,
,21,8636487,12,11,1,128.79,,,,service,8,"LINESTRING (-71.1464233 42.3444000, -71.1460590 42.3441790, -71.1466480 42.3434960)",walk;bike,1,0,,
,22,8636494,13,14,1,57.29,,,,service,8,"LINESTRING (-71.1411047 42.3439384, -71.1406473 42.3436604, -71.1405562 42.3436980)",walk;bike,1,0,,
,23,8636494,14,13,1,57.29,,,,service,8,"LINESTRING (-71.1405562 42.3436980, -71.1406473 42.3436604, -71.1411047 42.3439384)",walk;bike,1,0,,
,24,8636497,15,16,1,10.8,,,,service,8,"LINESTRING (-71.1396981 42.3441560, -71.1395957 42.3440952)",walk;bike,1,0,,
,25,8636497,16,15,1,10.8,,,,service,8,"LINESTRING (-71.1395957 42.3440952, -71.1396981 42.3441560)",walk;bike,1,0,,
,26,8636497,16,15,1,49.77,,,,service,8,"LINESTRING (-71.1395957 42.3440952, -71.1397440 42.3439586, -71.1398465 42.3440193, -71.1396981 42.3441560)",walk;bike,1,0,,
