name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,61342721,traffic_signals,,signal,,,,-71.140427,42.342395,,,
,1,6755478979,,,,,,,-71.1402261,42.3425484,,,
,2,6755478977,,,,,,,-71.1399936,42.3427311,,,
,3,6869654080,,,,,,,-71.1398653,42.3428372,,,
,4,534977422,,,,,,,-71.1396885,42.3429834,,,
,5,61503276,,,,,,,-71.139226,42.343348,,,
,6,534977395,,,,,,,-71.1388701,42.3436356,,,
,7,9690778591,crossing,,,,,,-71.1383049,42.3441013,,,
,8,61480636,traffic_signals,,signal,,,,-71.1382581,42.3441409,,,
,9,9690778589,crossing,,,,,,-71.1382112,42.3441811,,,
,10,,,,,,,,-71.1379347,42.3444,,,boundary node created by osm2gmns
,11,61344051,,,,,,,-71.146648,42.343496,,,
,12,,,,,,,,-71.1464233,42.3444,,,boundary node created by osm2gmns
,13,61517226,,,,,,,-71.1411047,42.3439384,,,
,14,61549073,,,,,,,-71.1405562,42.343698,,,
,15,61551314,,,,,,,-71.1396981,42.344156,,,
,16,61551324,,,,,,,-71.1395957,42.3440952,,,
,17,61342571,,,,,,,-71.1469925,42.3438292,,,
,18,,,,,,,,-71.1464949,42.3444,,,boundary node created by osm2gmns
,19,,,,,,,,-71.1428549,42.3444,,,boundary node created by osm2gmns
,20,61357188,,,,,,,-71.142791,42.344369,,,
,21,61373926,,,,,,,-71.147496,42.338021,,,
,22,61343440,,,,,,,-71.1473413,42.3375349,,,
,23,61395683,,,,,,,-71.147239,42.3372095,,,
,24,3324516672,,,,,,,-71.1471629,42.3369309,,,
,25,63572749,,,,,,,-71.1471433,42.3368258,,,
,26,,,,,,,,-71.140595,42.3444,,,boundary node created by osm2gmns
,27,61426829,,,,,,,-71.140593,42.3443988,,,
,28,61357233,,,,,,,-71.146187,42.341033,,,
,29,6755478961,,,,,,,-71.1461697,42.3409504,,,
,30,61357295,,,,,,,-71.146137,42.340894,,,
,31,516455532,,,,,,,-71.14619,42.3410441,,,
,32,,,,,,,,-71.1489,42.3370644,,,boundary node created by osm2gmns
,33,3334321188,,,,,,,-71.1488092,42.336851,,,
,34,61395676,,,,,,,-71.1488001,42.3368295,,,
,35,8603352774,crossing,,,,,,-71.1486943,42.3365808,,,
,36,61361918,,,,,,,-71.1486498,42.3364761,,,
,37,61517224,,,,,,,-71.1408694,42.3441638,,,
,38,,,,,,,,-71.1412465,42.3444,,,boundary node created by osm2gmns
,39,61342929,,,,,,,-71.14313,42.3438897,,,
,40,61363988,,,,,,,-71.1436079,42.3432366,,,
,41,2942099284,,,,,,,-71.1436525,42.3431778,,,
,42,10110291152,traffic_signals,,signal,,,,-71.1457676,42.3419609,,,
,43,61343290,,,,,,,-71.1459322,42.341921,,,
,44,,,,,,,,-71.1489,42.3413449,,,boundary node created by osm2gmns
,45,61491702,,,,,,,-71.146856,42.3413671,,,
,46,2272144750,,,,,,,-71.1467388,42.341376,,,
