name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,29513217,,yes,,,,"POLYGON ((-71.1452995 42.3443857, -71.1453918 42.3444557, -71.1452878 42.3445311, -71.1452557 42.3445068, -71.1452433 42.3445159, -71.1452042 42.3444862, -71.1452795 42.3444315, -71.1452584 42.3444155, -71.1452995 42.3443857))",POINT (-71.1452986 42.3444624),118.8,1279.1
,1,29513218,,house,,,,"POLYGON ((-71.1382869 42.3442852, -71.1383865 42.3443449, -71.1382894 42.3444333, -71.1381813 42.3443684, -71.1382401 42.3443149, -71.1382486 42.34432, -71.1382869 42.3442852))",POINT (-71.1382845 42.3443585),140.5,1511.9
,2,29513220,,yes,,,,"POLYGON ((-71.1300455 42.3441025, -71.1301591 42.3441607, -71.1300483 42.3442798, -71.1299346 42.3442216, -71.1300455 42.3441025))",POINT (-71.1300469 42.3441912),182.8,1967.7
,3,29513221,,yes,,,,"POLYGON ((-71.1371797 42.3441694, -71.1372585 42.3442189, -71.1371906 42.3442783, -71.1371119 42.3442288, -71.1371797 42.3441694))",POINT (-71.1371852 42.3442238),73.5,791.1
,4,29513223,,yes,,,,"POLYGON ((-71.1443673 42.3441378, -71.1444176 42.3441638, -71.1443897 42.3441934, -71.1444205 42.3442093, -71.144393 42.3442386, -71.1444167 42.3442508, -71.144388 42.3442813, -71.1444595 42.3443183, -71.1445225 42.3442514, -71.1445814 42.3442785, -71.1445729 42.3442874, -71.1446238 42.3443137, -71.1445915 42.344348, -71.1446432 42.3443748, -71.144551 42.3444729, -71.1441651 42.3442733, -71.1442602 42.3441722, -71.1442939 42.3441896, -71.1443138 42.3441685, -71.1443304 42.344177, -71.1443673 42.3441378))",POINT (-71.1444122 42.3443091),611.4,6581.4
,5,29513224,,yes,,,,"POLYGON ((-71.1321563 42.3442031, -71.1322852 42.3442339, -71.1322497 42.3443155, -71.1321209 42.3442848, -71.1321563 42.3442031))",POINT (-71.132203 42.3442593),106.2,1143.0
,6,29513225,,yes,,,,"POLYGON ((-71.1473541 42.3441809, -71.1475402 42.3442661, -71.147483 42.3443348, -71.147297 42.3442496, -71.1473541 42.3441809))",POINT (-71.1474186 42.3442579),161.4,1737.7
,7,29513228,,yes,,,,"POLYGON ((-71.1361731 42.3440953, -71.1362491 42.344134, -71.1361959 42.3441917, -71.1361609 42.3441739, -71.1361417 42.3441947, -71.1361006 42.3441737, -71.1361731 42.3440953))",POINT (-71.1361757 42.3441484),70.5,758.6
,8,29513229,,yes,,,,"POLYGON ((-71.1312031 42.3439375, -71.1312625 42.3439588, -71.1312753 42.3439392, -71.1313389 42.3439621, -71.1312614 42.3440808, -71.1311385 42.3440367, -71.1312031 42.3439375))",POINT (-71.1312386 42.3440046),151.7,1633.0
,9,29513230,,yes,,,,"POLYGON ((-71.132501 42.3439902, -71.1326175 42.3440185, -71.1325892 42.3440824, -71.1324727 42.3440541, -71.132501 42.3439902))",POINT (-71.1325451 42.3440363),75.4,811.7
